Package,Item,Title,Rows,Cols,has_logical,has_binary,has_numeric,has_character,has_factor
boot,neuro,Neurophysiological Point Process Data,469,6,FALSE,FALSE,TRUE,FALSE,FALSE
boot,nitrofen,Toxicity of Nitrofen in Aquatic Systems,50,5,FALSE,FALSE,TRUE,FALSE,FALSE
boot,nodal,Nodal Involvement in Prostate Cancer,53,7,FALSE,TRUE,TRUE,FALSE,FALSE
boot,nuclear,Nuclear Power Station Construction Data,32,11,FALSE,TRUE,TRUE,FALSE,FALSE
boot,paulsen,Neurotransmission in Guinea Pig Brains,346,1,FALSE,FALSE,TRUE,FALSE,FALSE
boot,poisons,Animal Survival Times,48,3,FALSE,FALSE,TRUE,FALSE,TRUE
boot,polar,Pole Positions of New Caledonian Laterites,50,2,FALSE,FALSE,TRUE,FALSE,FALSE
boot,remission,Cancer Remission and Cell Activity,27,3,FALSE,TRUE,TRUE,FALSE,FALSE
boot,salinity,Water Salinity and River Discharge,28,4,FALSE,FALSE,TRUE,FALSE,FALSE
boot,survival,Survival of Rats after Radiation Doses,14,2,FALSE,FALSE,TRUE,FALSE,FALSE
boot,tau,Tau Particle Decay Modes,60,2,FALSE,FALSE,TRUE,FALSE,TRUE
boot,tuna,Tuna Sighting Data,64,1,FALSE,FALSE,TRUE,FALSE,FALSE
boot,urine,Urine Analysis Data,79,7,FALSE,TRUE,TRUE,FALSE,FALSE
boot,wool,Australian Relative Wool Prices,309,2,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Adler,Experimenter Expectations,108,3,FALSE,TRUE,TRUE,FALSE,TRUE
carData,AMSsurvey,American Math Society Survey Data,24,5,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Angell,Moral Integration of American Cities,43,4,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Anscombe,U. S. State Public-School Expenditures,51,4,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Arrests,Arrests for Marijuana Possession,5226,8,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Baumann,Methods of Teaching Reading Comprehension,66,6,FALSE,FALSE,TRUE,FALSE,TRUE
carData,BEPS,British Election Panel Study,1525,10,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Bfox,Canadian Women's Labour-Force Participation,30,6,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Blackmore,Exercise Histories of Eating-Disordered and Control Subjects,945,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Burt,Fraudulent Data on IQs of Twins Raised Apart,27,3,FALSE,FALSE,TRUE,FALSE,TRUE
carData,CanPop,Canadian Population Data,16,2,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Chile,Voting Intentions in the 1988 Chilean Plebiscite,2700,8,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Chirot,The 1907 Romanian Peasant Rebellion,32,5,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Cowles,Cowles and Davis's Data on Volunteering,1421,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Davis,Self-Reports of Height and Weight,200,5,FALSE,TRUE,TRUE,FALSE,TRUE
carData,DavisThin,Davis's Data on Drive for Thinness,191,7,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Depredations,Minnesota Wolf Depredation Data,434,5,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Duncan,Duncan's Occupational Prestige Data,45,4,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Ericksen,The 1980 U.S. Census Undercount,66,9,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Florida,Florida County Voting,67,11,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Freedman,Crowding and Crime in U. S. Metropolitan Areas,110,4,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Friendly,Format Effects on Recall,30,2,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Ginzberg,Data on Depression,82,6,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Greene,Refugee Appeals,384,7,FALSE,TRUE,TRUE,FALSE,TRUE
carData,GSSvocab,Data from the General Social Survey (GSS) from the National Opinion Research Center of the University of Chicago.,28867,8,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Guyer,Anonymity and Cooperation,20,3,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Hartnagel,Canadian Crime-Rates Time Series,38,8,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Highway1,Highway Accidents,39,12,FALSE,FALSE,TRUE,FALSE,TRUE
carData,KosteckiDillon,Treatment of Migraine Headaches,4152,9,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Leinhardt,Data on Infant-Mortality,105,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,LoBD,Cancer drug data use to provide an example of the use of the skew power distributions.,84,9,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Mandel,Contrived Collinear Data,8,3,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Migration,Canadian Interprovincial Migration Data,90,8,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Moore,"Status, Authoritarianism, and Conformity",45,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,MplsDemo,"Minneapolis Demographic Data 2015, by Neighborhood",84,8,FALSE,FALSE,TRUE,TRUE,FALSE
carData,MplsStops,Minneapolis Police Department 2017 Stop Data,51920,14,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Mroz,U.S. Women's Labor-Force Participation,753,8,FALSE,TRUE,TRUE,FALSE,TRUE
carData,OBrienKaiser,O'Brien and Kaiser's Repeated-Measures Data,16,17,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Ornstein,Interlocking Directorates Among Major Canadian Firms,248,4,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Pottery,Chemical Composition of Pottery,26,6,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Prestige,Prestige of Canadian Occupations,102,6,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Quartet,Four Regression Datasets,11,6,FALSE,TRUE,TRUE,FALSE,FALSE
carData,Robey,Fertility and Contraception,50,3,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Sahlins,Agricultural Production in Mazulu Village,20,2,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Salaries,Salaries for Professors,397,6,FALSE,TRUE,TRUE,FALSE,TRUE
carData,SLID,Survey of Labour and Income Dynamics,7425,5,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Soils,Soil Compositions of Physical and Chemical Characteristics,48,14,FALSE,FALSE,TRUE,FALSE,TRUE
carData,States,Education and Related Statistics for the U.S. States,51,7,FALSE,FALSE,TRUE,FALSE,TRUE
carData,TitanicSurvival,Survival of Passengers on the Titanic,1309,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Transact,Transaction data,261,3,FALSE,FALSE,TRUE,FALSE,FALSE
carData,UN,"National Statistics from the United Nations, Mostly From 2009-2011",213,7,FALSE,FALSE,TRUE,FALSE,TRUE
carData,USPop,Population of the United States,22,2,FALSE,FALSE,TRUE,FALSE,FALSE
carData,Vocab,Vocabulary and Education,30351,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,WeightLoss,Weight Loss Data,34,7,FALSE,FALSE,TRUE,FALSE,TRUE
carData,Wells,Well Switching in Bangladesh,3020,5,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Womenlf,Canadian Women's Labour-Force Participation,263,4,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Wong,Post-Coma Recovery of IQ,331,7,FALSE,TRUE,TRUE,FALSE,TRUE
carData,Wool,Wool data,27,4,FALSE,FALSE,TRUE,FALSE,FALSE
carData,WVS,World Values Surveys,5381,6,FALSE,TRUE,TRUE,FALSE,TRUE
cluster,agriculture,European Union Agricultural Workforces,12,2,FALSE,FALSE,TRUE,FALSE,FALSE
cluster,animals,Attributes of Animals,20,6,FALSE,TRUE,TRUE,FALSE,FALSE
cluster,chorSub,Subset of C-horizon of Kola Data,61,10,FALSE,FALSE,TRUE,FALSE,FALSE
cluster,flower,Flower Characteristics,18,8,FALSE,TRUE,TRUE,FALSE,TRUE
cluster,plantTraits,Plant Species Traits Data,136,31,FALSE,TRUE,TRUE,FALSE,TRUE
cluster,pluton,Isotopic Composition Plutonium Batches,45,4,FALSE,FALSE,TRUE,FALSE,FALSE
cluster,ruspini,Ruspini Data,75,2,FALSE,FALSE,TRUE,FALSE,FALSE
cluster,votes.repub,Votes for Republican Candidate in Presidential Elections,50,31,FALSE,FALSE,TRUE,FALSE,FALSE
cluster,xclara,Bivariate Data Set with 3 Clusters,3000,2,FALSE,FALSE,TRUE,FALSE,FALSE
COUNT,affairs,affairs,601,18,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,azcabgptca,azcabgptca,1959,6,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,azdrg112,azdrg112,1798,4,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,azpro,azpro,3589,6,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,azprocedure,azprocedure,3589,6,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,badhealth,badhealth,1127,3,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,fasttrakg,fasttrakg,15,9,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,fishing,fishing,147,7,FALSE,TRUE,TRUE,FALSE,TRUE
COUNT,lbw,lbw,189,10,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,lbwgrp,lbwgrp,6,7,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,loomis,loomis,410,11,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,mdvis,mdvis,2227,13,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,medpar,medpar,1495,10,FALSE,TRUE,TRUE,TRUE,FALSE
COUNT,nuts,nuts,52,8,FALSE,FALSE,TRUE,FALSE,FALSE
COUNT,rwm,rwm,27326,4,FALSE,FALSE,TRUE,FALSE,FALSE
COUNT,rwm1984,rwm1984,3874,15,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,rwm5yr,rwm5yr,19609,17,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,ships,ships,40,7,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,smoking,smoking,6,4,FALSE,TRUE,TRUE,FALSE,FALSE
COUNT,titanic,titanic,1316,4,FALSE,TRUE,FALSE,FALSE,TRUE
COUNT,titanicgrp,titanicgrp,12,5,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,ACF1,Aberrant Crypt Foci in Rat Colons,22,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,ais,Australian athletes data set,202,13,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,allbacks,Measurements on a Selection of Books,15,4,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,anesthetic,Anesthetic Effectiveness,30,4,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,ant111b,"Averages by block of corn yields, for treatment 111 only",32,9,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,antigua,Averages by block of yields for the Antigua Corn data,288,7,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,appletaste,Tasting experiment that compared four apple varieties,60,3,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,aulatlong,Latitudes and longitudes for ten Australian cities,10,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,austpop,Population figures for Australian States and Territories,9,10,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,biomass,Biomass Data,153,8,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,bomregions,"Australian and Related Historical Annual Climate Data, by region",109,22,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,bomregions2011,"Australian and Related Historical Annual Climate Data, by region",112,22,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,bomregions2012,"Australian and Related Historical Annual Climate Data, by region",113,22,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,bomsoi,Southern Oscillation Index Data,106,21,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,bomsoi2001,Southern Oscillation Index Data,102,15,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,bostonc,Boston Housing Data - Corrected,517,1,FALSE,FALSE,FALSE,FALSE,TRUE
DAAG,carprice,US Car Price Data,48,9,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,Cars93.summary,A Summary of the Cars93 Data set,6,4,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,cerealsugar,Percentage of Sugar in Breakfast Cereal,100,1,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,cfseal,Cape Fur Seal Data,30,11,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,cities,Populations of Major Canadian Cities (1992-96),25,7,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,codling,"Dose-mortality data, for fumigation of codling moth with methyl bromide",99,10,FALSE,TRUE,TRUE,TRUE,TRUE
DAAG,cottonworkers,Occupation and wage profiles of British cotton workers,14,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,cps1,Labour Training Evaluation Data,15992,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,cps2,Labour Training Evaluation Data,2369,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,cps3,Labour Training Evaluation Data,429,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,cricketer,Lifespans of UK 1st class cricketers born 1840-1960,5960,8,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,cuckoohosts,Comparison of cuckoo eggs with host eggs,10,12,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,cuckoos,Cuckoo Eggs Data,120,4,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,dengue,"Dengue prevalence, by administrative region",2000,13,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,dewpoint,Dewpoint Data,72,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,droughts,Periods Between Rain Events,2042,2,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,edcCO2,EPICA Dome C Ice Core 800KYr Carbon Dioxide Data,1096,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,edcT,EPICA Dome C Ice Core 800KYr Temperature Estimates,5788,5,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,elastic1,Elastic Band Data Replicated,7,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,elastic2,Elastic Band Data Replicated Again,9,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,elasticband,Elastic Band Data,7,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,fossilfuel,Fossil Fuel Data,5,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,fossum,Female Possum Measurements,43,14,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,frogs,Frogs Data,212,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,frostedflakes,Frosted Flakes data,100,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,fruitohms,Electrical Resistance of Kiwi Fruit,128,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,gaba,Effect of pentazocine on post-operative pain (average VAS scores),9,7,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,geophones,Seismic Timing Data,56,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,greatLakes,Yearly averages of Great Lake heights: 1918 - 2009,92,4,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,grog,Alcohol consumption in Australia and New Zealand,18,5,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,head.injury,Minor Head Injury (Simulated) Data,3121,11,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,headInjury,Minor Head Injury (Simulated) Data,3121,11,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,hills,Scottish Hill Races Data,35,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,hills2000,Scottish Hill Races Data - 2000,56,4,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,hotspots,Hawaian island chain hotspot Potassium-Argon ages,35,6,FALSE,FALSE,TRUE,TRUE,FALSE
DAAG,hotspots2006,Hawaian island chain hotspot Argon-Argon ages,10,6,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,houseprices,Aranda House Prices,15,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,humanpower1,"Oxygen uptake versus mechanical power, for humans",28,3,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,humanpower2,"Oxygen uptake versus mechanical power, for humans",26,3,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,hurricNamed,Named US Atlantic Hurricanes,94,12,FALSE,TRUE,TRUE,TRUE,TRUE
DAAG,intersalt,Blood pressure versus Salt; inter-population data,52,4,FALSE,FALSE,TRUE,TRUE,FALSE
DAAG,ironslag,Iron Content Measurements,53,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,jobs,Canadian Labour Force Summary Data (1995-96),24,7,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,kiwishade,Kiwi Shading Data,48,4,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,leafshape,Full Leaf Shape Data Set,286,9,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,leafshape17,Subset of Leaf Shape Data Set,61,8,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,leaftemp,Leaf and Air Temperature Data,62,4,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,leaftemp.all,Full Leaf and Air Temperature Data Set,62,9,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,litters,Mouse Litters,20,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,Lottario,Ontario Lottery Data,39,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,lung,Cape Fur Seal Lung Measurements,30,1,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,Manitoba.lakes,The Nine Largest Lakes in Manitoba,9,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,measles,Deaths in London from measles,311,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,medExpenses,Family Medical Expenses,33,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,mifem,Mortality Outcomes for Females Suffering Myocardial Infarction,1295,10,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,mignonette,Darwin's Wild Mignonette Data,24,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,milk,Milk Sweetness Study,17,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,modelcars,Model Car Data,12,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,monica,WHO Monica Data,6367,12,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,moths,Moths Data,41,4,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,nassCDS,Airbag and other influences on accident fatalities,26217,15,FALSE,TRUE,TRUE,TRUE,TRUE
DAAG,nasshead,Documentation of names of columns in nass9702cor,56,3,FALSE,FALSE,FALSE,TRUE,FALSE
DAAG,nihills,Record times for Northern Ireland mountain running events,23,4,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,nsw74demo,Labour Training Evaluation Data,445,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,nsw74psid1,Labour Training Evaluation Data,2675,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,nsw74psid3,Labour Training Evaluation Data,313,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,nsw74psidA,A Subset of the nsw74psid1 Data Set,252,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,nswdemo,Labour Training Evaluation Data,722,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,nswpsid1,Labour Training Evaluation Data,2787,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,oddbooks,Measurements on 12 books,12,4,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,orings,Challenger O-rings Data,23,4,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,ozone,Ozone Data,45,11,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,pair65,Heated Elastic Bands,9,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,possum,Possum Measurements,104,14,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,possumsites,Possum Sites,7,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,poxetc,"Deaths from various causes, in London from 1629 till 1881, with gaps",253,5,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,primates,Primate Body and Brain Weights,5,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,progression,"Progression of Record times for track races, 1912 - 2008",227,4,FALSE,FALSE,TRUE,TRUE,FALSE
DAAG,psid1,Labour Training Evaluation Data,2490,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,psid2,Labour Training Evaluation Data,253,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,psid3,Labour Training Evaluation Data,128,10,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,races2000,Scottish Hill Races Data - 2000,77,5,FALSE,FALSE,TRUE,TRUE,FALSE
DAAG,rainforest,Rainforest Data,65,7,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,rareplants,Rare and Endangered Plant Species,4,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,rice,Genetically Modified and Wild Type Rice Data,72,7,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,rockArt,Pacific Rock Art features,103,641,FALSE,TRUE,TRUE,TRUE,FALSE
DAAG,roller,Lawn Roller Data,10,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,science,School Science Survey Data,1385,7,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,seedrates,Barley Seeding Rate Data,5,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,socsupport,Social Support Data,95,20,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,softbacks,Measurements on a Selection of Paperback Books,8,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,sorption,sorption data set,192,14,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,SP500close,Closing Numbers for S and P 500 Index,2780,1,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,SP500W90,Closing Numbers for S and P 500 Index - First 100 Days of 1990,100,2,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,spam7,Spam E-mail Data,4601,7,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,stVincent,Averages by block of yields for the St. Vincent Corn data,324,8,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,sugar,Sugar Data,12,2,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,tinting,Car Window Tinting Experiment Data,182,9,FALSE,TRUE,TRUE,FALSE,TRUE
DAAG,tomato,Root weights of tomato plants exposed to 4 different treatments,24,2,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,toycars,Toy Cars Data,27,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,vince111b,"Averages by block of corn yields, for treatment 111 only",36,8,FALSE,FALSE,TRUE,FALSE,TRUE
DAAG,vlt,Video Lottery Terminal Data,345,5,FALSE,TRUE,TRUE,FALSE,FALSE
DAAG,wages1833,Wages of Lancashire Cotton Factory Workers in 1833,51,5,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,whoops,"Deaths from whooping cough, in London",142,3,FALSE,FALSE,TRUE,FALSE,FALSE
DAAG,worldRecords,"Record times for track and road races, at August 9th 2006",40,5,FALSE,TRUE,TRUE,TRUE,TRUE
datasets,ability.cov,Ability and Intelligence Tests,6,8,FALSE,FALSE,TRUE,FALSE,FALSE
datasets,airmiles,"Passenger Miles on Commercial US Airlines, 1937-1960",24,2,FALSE,FALSE,TRUE,FALSE,FALSE
datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2,FALSE,FALSE,TRUE,FALSE,FALSE
datasets,airquality,New York Air Quality Measurements,153,6,FALSE,FALSE,TRUE,FALSE,FALSE
datasets,anscombe,Anscombe's Quartet of 'Identical' Simple Linear Regressions,11,8,FALSE,TRUE,TRUE,FALSE,FALSE
datasets,attenu,The Joyner-Boore Attenuation Data,182,5,FALSE,FALSE,TRUE,FALSE,TRUE
